party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-2,0,-0.047619047619047616,0.0,1.0,0.2,0,9.0,0,1,0.0,2,450.0,3,14
6,0,0.14285714285714285,0.0,2.0,0.4,1,-6.0,8,8,1.0,0_0_0_1/8_1/4_1/4_1/8_0,475.0,6,56
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,50.0,2,5,0.4,1/8_1/4_1/2_0_1/8,420.0,5,40
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,22.0,3,6,0.5,0_1/2_1/4_1/8_0_0,410.0,4,40
-7,0,-0.16666666666666666,0.0,2.0,0.4,0,22.5,1,2,0.5,1/4_1,375.0,5,26
12,2,0.2857142857142857,0.4,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,20
16,1,0.38095238095238093,0.2,0.0,0.0,1,-9.5,5,5,1.0,1/4_1/8_1/2_0_0,390.0,4,30
15,3,0.35714285714285715,0.6,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,22
-2,0,-0.047619047619047616,0.0,4.0,0.8,0,75.0,1,6,0.16666666666666666,1/4_0_1/2_1/8_1/4_0,490.0,4,28
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,71.0,1,5,0.2,1/8_1/2_0_1/4_1/8,420.0,5,38
7,0,0.16666666666666666,0.0,0.0,0.0,1,-5.5,4,4,1.0,1/4_1/4_1/2_0,420.0,6,42
-1,0,-0.023809523809523808,0.0,4.0,0.8,0,92.5,0,6,0.0,1/4_0_1/2_0_0_1/4,460.0,4,35
22,1,0.5238095238095238,0.2,0.0,0.0,1,-2.5,3,3,1.0,1_1/8_0,470.0,4,24
2,0,0.047619047619047616,0.0,1.0,0.2,1,-2.0,3,3,1.0,1/2_1/4_1/4,400.0,5,35
14,0,0.3333333333333333,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/8_1_0_0,490.0,4,32
7,0,0.16666666666666666,0.0,1.0,0.2,1,-2.0,2,2,1.0,1_1/2,450.0,5,25
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,30.0,0,1,0.0,2,450.0,3,14
22,0,0.5238095238095238,0.0,0.0,0.0,1,0.0,8,9,0.8888888888888888,1/8_0_0_1/8_1/8_1/8_1/8_1/8_1/8,487.5,5,49
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,50.5,2,6,0.3333333333333333,0_0_1/2_1/4_0_1/4,460.0,4,40
24,2,0.5714285714285714,0.4,0.0,0.0,1,-6.0,4,4,1.0,1_0_1/8_0,490.0,4,25
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,3,3,1.0,0_1_0,440.0,3,19
-5,1,-0.11904761904761904,0.2,3.0,0.6,0,81.5,0,6,0.0,0_1/2_1/8_0_1/8_1/4,440.0,3,28
15,4,0.35714285714285715,0.8,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,22
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,29.5,3,6,0.5,1/4_0_0_0_1/2_1/4,460.0,5,44
20,3,0.47619047619047616,0.6,0.0,0.0,1,-13.0,3,3,1.0,0_0_1,440.0,4,25
18,1,0.42857142857142855,0.2,0.0,0.0,1,-3.0,7,7,1.0,1/8_0_1/4_1/8_0_1/8_0,387.5,4,33
0,0,0.0,0.0,4.0,0.8,0,22.0,4,6,0.6666666666666666,1/8_1/8_1/4_1/8_1/8_1/4,400.0,6,54
15,1,0.35714285714285715,0.2,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,20
-7,3,-0.16666666666666666,0.6,1.0,0.2,0,30.0,0,1,0.0,2,450.0,2,12
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,96.5,1,6,0.16666666666666666,1/4_1/4_1/4_1/8_0_1/4,470.0,4,38
9,0,0.21428571428571427,0.0,0.0,0.0,1,-12.5,2,2,1.0,1_1/4,375.0,4,26
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,82.0,0,2,0.0,1_1/2,450.0,3,19
0,3,0.0,0.6,3.0,0.6,0,82.0,1,4,0.25,1/2_1/4_1/4_1/8,450.0,4,28
16,3,0.38095238095238093,0.6,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,17
-2,0,-0.047619047619047616,0.0,1.0,0.2,0,2.0,0,1,0.0,2,450.0,3,14
15,1,0.35714285714285715,0.2,0.0,0.0,1,-2.5,7,7,1.0,1/4_0_1/4_1/8_1/8_0_0,450.0,5,41
16,1,0.38095238095238093,0.2,0.0,0.0,1,-6.0,4,4,1.0,0_1_1/8_0,490.0,3,24
19,0,0.4523809523809524,0.0,0.0,0.0,1,-2.5,5,5,1.0,0_1/2_1/8_0_1/4,390.0,4,26
12,3,0.2857142857142857,0.6,0.0,0.0,1,-6.0,4,4,1.0,1_0_1/8_0,490.0,4,26
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,1.0,4,5,0.8,0_1/8_1/2_1/8_1/4,420.0,6,47
17,1,0.40476190476190477,0.2,0.0,0.0,1,-2.5,3,3,1.0,0_1/8_1,470.0,3,20
17,3,0.40476190476190477,0.6,0.0,0.0,1,-2.5,3,3,1.0,0_1_1/8,470.0,4,24
0,1,0.0,0.2,2.0,0.4,0,103.0,0,6,0.0,1/4_0_1/2_1/4_1/8_0,490.0,4,31
16,2,0.38095238095238093,0.4,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,17
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,16
-1,0,-0.023809523809523808,0.0,4.0,0.8,0,77.5,0,8,0.0,1/8_1/8_1/8_1/4_1/8_0_1/8_0,487.5,4,48
-6,0,-0.14285714285714285,0.0,2.0,0.4,0,26.0,1,2,0.5,1/2_1,450.0,5,28
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,37.0,0,1,0.0,2,450.0,3,13
0,0,0.0,0.0,2.0,0.4,0,22.0,4,6,0.6666666666666666,0_1/4_1/8_0_1/2_0,410.0,4,34
23,2,0.5476190476190477,0.4,0.0,0.0,1,-6.0,3,3,1.0,1_0_0,440.0,3,21
-2,3,-0.047619047619047616,0.6,4.0,0.8,0,145.5,0,6,0.0,0_1/4_1/8_1/4_1/4_1/4,470.0,3,26
-3,0,-0.07142857142857142,0.0,3.0,0.6,0,92.5,0,5,0.0,1/2_0_1/4_1/8_1/4,470.0,3,27
0,0,0.0,0.0,4.0,0.8,0,82.0,1,6,0.16666666666666666,0_1/2_0_1/4_1/8_1/4,490.0,4,33
9,0,0.21428571428571427,0.0,0.0,0.0,1,-5.5,4,4,1.0,0_1/2_1/4_1/4,420.0,5,36
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,54.0,1,2,0.5,1_1/2,450.0,4,24
17,0,0.40476190476190477,0.0,0.0,0.0,1,-3.0,6,6,1.0,1/8_1/8_0_1/2_1/8_0,390.0,5,41
-6,0,-0.14285714285714285,0.0,2.0,0.4,0,5.0,1,2,0.5,1_1/2,450.0,5,28
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,17
16,2,0.38095238095238093,0.4,0.0,0.0,1,-2.0,2,2,1.0,1/2_1,450.0,4,24
