party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-1,4,-0.023809523809523808,0.8,1.0,0.2,0,73.0,0,1,0.0,3,700.0,2,8
-11,3,-0.2619047619047619,0.6,3.0,0.6,0,167.0,0,4,0.0,2_1/2_1/8_1/8,1200.0,2,14
-7,2,-0.16666666666666666,0.4,2.0,0.4,0,160.5,0,4,0.0,1_2_1/8_0,1370.0,3,18
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,158.0,0,2,0.0,1_3,1350.0,2,9
-3,2,-0.07142857142857142,0.4,3.0,0.6,0,194.5,0,5,0.0,1/2_1/2_1/8_1/2_1/4,750.0,3,22
-5,2,-0.11904761904761904,0.4,4.0,0.8,0,106.5,0,6,0.0,0_0_1/8_1/4_1_1/8,640.0,2,18
-7,4,-0.16666666666666666,0.8,3.0,0.6,0,111.5,0,3,0.0,3_1/8_0,1470.0,2,10
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,92.5,0,5,0.0,1_1/4_1/8_1/8_1/8,650.0,4,33
-2,3,-0.047619047619047616,0.6,2.0,0.4,0,111.5,0,3,0.0,1/8_0_3,1470.0,2,11
-9,4,-0.21428571428571427,0.8,2.0,0.4,0,94.5,0,2,0.0,3_1/4,1125.0,2,13
-4,1,-0.09523809523809523,0.2,1.0,0.2,0,94.5,0,2,0.0,1/4_3,1125.0,2,12
-2,3,-0.047619047619047616,0.6,2.0,0.4,0,111.5,0,3,0.0,0_3_1/8,1470.0,2,10
-4,3,-0.09523809523809523,0.6,2.0,0.4,0,210.0,0,5,0.0,2_1/8_1_1/4_0,1470.0,2,15
-6,0,-0.14285714285714285,0.0,2.0,0.4,0,181.5,0,5,0.0,0_1/2_2_1/2_1/8,1370.0,2,17
-1,3,-0.023809523809523808,0.6,2.0,0.4,0,124.5,0,3,0.0,1_1/4_1/2,700.0,2,14
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,59.0,0,1,0.0,3,700.0,2,9
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,96.0,0,5,0.0,1_1/4_1/8_1/8_0,620.0,4,29
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,31.0,0,1,0.0,3,700.0,2,11
-1,2,-0.023809523809523808,0.4,3.0,0.6,0,164.0,0,5,0.0,1/2_1/8_1/4_0_2,1270.0,2,14
-8,2,-0.19047619047619047,0.4,2.0,0.4,0,129.0,0,3,0.0,1_2_1/8,1350.0,2,16
-3,1,-0.07142857142857142,0.2,1.0,0.2,0,146.5,0,3,0.0,2_1_0,1320.0,2,12
-4,0,-0.09523809523809523,0.0,2.0,0.4,0,50.5,1,3,0.3333333333333333,0_1_1/2,620.0,4,28
-3,0,-0.07142857142857142,0.0,2.0,0.4,0,82.5,1,4,0.25,1/4_1/4_1/2_1/4,500.0,4,31
-4,2,-0.09523809523809523,0.4,2.0,0.4,0,132.0,0,4,0.0,1/2_2_1/8_1/8,1200.0,2,16
16,2,0.38095238095238093,0.4,0.0,0.0,1,-0.5,2,2,1.0,3_0,1065.0,4,24
-4,3,-0.09523809523809523,0.6,1.0,0.2,0,115.5,0,2,0.0,1/4_3,1125.0,2,11
12,2,0.2857142857142857,0.4,0.0,0.0,1,-1.0,3,3,1.0,0_1/4_2,1020.0,4,25
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,170.0,0,3,0.0,1/2_1_1/2,800.0,2,11
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,87.0,0,1,0.0,3,700.0,2,6
-8,2,-0.19047619047619047,0.4,3.0,0.6,0,195.0,0,3,0.0,1_1/2_1,1000.0,2,12
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,103.0,0,7,0.0,1/2_1/4_0_0_0_1/4_0,600.0,4,36
-4,2,-0.09523809523809523,0.4,2.0,0.4,0,210.0,0,5,0.0,0_2_1/8_1/4_1,1470.0,2,13
29,1,0.6904761904761905,0.2,0.0,0.0,1,-1.5,2,2,1.0,2_0,690.0,3,15
0,2,0.0,0.4,3.0,0.6,0,169.5,0,6,0.0,1/8_1/8_1/4_1/8_1/2_1/2,650.0,3,22
-2,2,-0.047619047619047616,0.4,3.0,0.6,0,182.0,0,4,0.0,1_2_1/4_0,1420.0,2,11
-3,3,-0.07142857142857142,0.6,1.0,0.2,0,199.5,0,3,0.0,1_2_1/4,1400.0,2,10
-4,0,-0.09523809523809523,0.0,2.0,0.4,0,40.5,1,3,0.3333333333333333,0_1_1,820.0,3,21
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,104.0,0,2,0.0,1/2_2,825.0,2,12
-10,1,-0.23809523809523808,0.2,1.0,0.2,0,181.5,0,4,0.0,1/8_1/2_2_1/4,1250.0,2,17
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,160.5,0,4,0.0,1/8_0_2_1,1370.0,2,12
-20,3,-0.47619047619047616,0.6,1.0,0.2,0,144.0,0,2,0.0,3_1,1350.0,2,12
-4,2,-0.09523809523809523,0.4,1.0,0.2,0,108.5,0,2,0.0,1/4_3,1125.0,2,13
-4,2,-0.09523809523809523,0.4,2.0,0.4,0,117.5,0,3,0.0,0_1_1,820.0,3,19
25,0,0.5952380952380952,0.0,0.0,0.0,1,-4.5,2,2,1.0,2_1/4,750.0,3,16
-4,3,-0.09523809523809523,0.6,1.0,0.2,0,143.0,0,2,0.0,1_2,975.0,2,9
-16,4,-0.38095238095238093,0.8,3.0,0.6,0,83.5,0,3,0.0,3_1/8_0,1470.0,2,14
-1,4,-0.023809523809523808,0.8,4.0,0.8,0,202.0,0,5,0.0,0_1_1/4_1/8_1,970.0,2,13
-3,2,-0.07142857142857142,0.4,2.0,0.4,0,118.5,0,3,0.0,0_1_2,1320.0,3,18
16,2,0.38095238095238093,0.4,0.0,0.0,1,-1.5,2,2,1.0,2_0,690.0,3,16
-3,2,-0.07142857142857142,0.4,2.0,0.4,0,118.0,0,4,0.0,0_1/4_1/8_2,1070.0,3,18
-4,0,-0.09523809523809523,0.0,1.0,0.2,0,23.5,1,2,0.5,2_1/4,750.0,4,24
-13,3,-0.30952380952380953,0.6,2.0,0.4,0,105.0,0,2,0.0,1/2_3,1200.0,2,13
-1,4,-0.023809523809523808,0.8,1.0,0.2,0,59.0,0,1,0.0,3,700.0,2,10
-7,4,-0.16666666666666666,0.8,2.0,0.4,0,83.5,0,3,0.0,1/8_3_0,1470.0,2,13
-3,2,-0.07142857142857142,0.4,2.0,0.4,0,286.5,0,7,0.0,1/4_1/8_1/2_1/4_1_1/2_0,1337.5,2,18
-20,2,-0.47619047619047616,0.4,1.0,0.2,0,123.0,0,2,0.0,1_3,1350.0,2,14
-3,0,-0.07142857142857142,0.0,2.0,0.4,0,82.0,0,4,0.0,0_1_1/4_1/8,570.0,4,25
-3,0,-0.07142857142857142,0.0,1.0,0.2,0,111.5,0,3,0.0,1_2_0,1320.0,2,16
-25,4,-0.5952380952380952,0.8,1.0,0.2,0,151.0,0,2,0.0,1_3,1350.0,2,11
-4,2,-0.09523809523809523,0.4,1.0,0.2,0,129.0,0,2,0.0,2_1,975.0,2,12
-3,3,-0.07142857142857142,0.6,1.0,0.2,0,171.5,0,3,0.0,2_1_1/4,1400.0,2,11
-3,1,-0.07142857142857142,0.2,1.0,0.2,0,107.0,0,2,0.0,1_1,600.0,3,16
-9,0,-0.21428571428571427,0.0,2.0,0.4,0,86.5,0,2,0.0,1/4_2,750.0,3,16
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,128.5,0,3,0.0,1/8_2_1/4,1050.0,2,11
-3,0,-0.07142857142857142,0.0,2.0,0.4,0,75.5,0,4,0.0,1/8_1/8_0_2,1020.0,3,21
-3,0,-0.07142857142857142,0.0,2.0,0.4,0,129.0,0,3,0.0,1_1/8_2,1350.0,3,17
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,59.0,0,1,0.0,3,700.0,2,7
-3,0,-0.07142857142857142,0.0,1.0,0.2,0,66.0,0,2,0.0,3_1/8,1087.5,3,15
-4,2,-0.09523809523809523,0.4,1.0,0.2,0,87.5,0,2,0.0,3_1/4,1125.0,2,14
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,121.0,0,2,0.0,1_1,600.0,2,10
-25,3,-0.5952380952380952,0.6,1.0,0.2,0,66.0,0,1,0.0,3,700.0,2,8
-3,1,-0.07142857142857142,0.2,1.0,0.2,0,62.5,0,2,0.0,0_3,1065.0,3,16
