party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
23,3,0.5476190476190477,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,14
29,4,0.6904761904761905,0.8,0.0,0.0,1,-6.5,3,3,1.0,1/2_0_1/8,270.0,3,18
27,4,0.6428571428571429,0.8,0.0,0.0,1,-3.0,4,4,1.0,1/2_0_0_1/8,290.0,3,16
-7,0,-0.16666666666666666,0.0,2.0,0.4,0,36.0,2,4,0.5,1/4_1/2_1/8_0,370.0,4,29
26,3,0.6190476190476191,0.6,0.0,0.0,1,-6.0,3,3,1.0,1/4_0_1/2,320.0,3,19
26,4,0.6190476190476191,0.8,0.0,0.0,1,-6.5,3,3,1.0,1/8_0_1/2,270.0,3,20
18,2,0.42857142857142855,0.4,0.0,0.0,1,-6.0,6,6,1.0,1/4_0_1/8_0_1/4_1/8,340.0,4,36
5,0,0.11904761904761904,0.0,1.0,0.2,1,-6.0,5,5,1.0,1/2_1/4_0_0_0,360.0,5,40
8,0,0.19047619047619047,0.0,0.0,0.0,1,-13.0,2,2,1.0,1/2_1/2,300.0,5,29
23,1,0.5476190476190477,0.2,0.0,0.0,1,-9.5,3,4,0.75,1/4_1/8_1/4_0,270.0,3,20
29,3,0.6904761904761905,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,16
12,0,0.2857142857142857,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/2_1/4_1/8_0,370.0,4,26
22,1,0.5238095238095238,0.2,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,4,21
15,1,0.35714285714285715,0.2,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,5,27
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
24,1,0.5714285714285714,0.2,0.0,0.0,1,-6.0,3,3,1.0,1/2_0_1/4,320.0,4,24
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
17,2,0.40476190476190477,0.4,0.0,0.0,1,-6.5,6,6,1.0,0_1/4_1/8_0_1/8_1/8,290.0,4,39
23,3,0.5476190476190477,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,16
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,68.0,1,6,0.16666666666666666,1/4_1/4_0_0_1/4_0,360.0,4,37
30,4,0.7142857142857143,0.8,0.0,0.0,1,-6.5,3,3,1.0,0_1/2_1/8,270.0,3,16
10,0,0.23809523809523808,0.0,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,22
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
15,1,0.35714285714285715,0.2,0.0,0.0,1,-6.0,4,4,1.0,1/4_1/2_1/8_0,370.0,3,23
29,3,0.6904761904761905,0.6,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,16
29,3,0.6904761904761905,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,14
9,0,0.21428571428571427,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/4_1/2_1/8_0,370.0,5,34
16,2,0.38095238095238093,0.4,0.0,0.0,1,-2.5,3,3,1.0,1/2_1/4_1/8,350.0,4,28
30,3,0.7142857142857143,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,14
12,3,0.2857142857142857,0.6,0.0,0.0,1,-3.0,4,6,0.6666666666666666,1/8_1/4_1/8_0_0_0,260.0,4,33
36,3,0.8571428571428571,0.6,0.0,0.0,1,-9.5,2,2,1.0,1_0,315.0,2,11
23,1,0.5476190476190477,0.2,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,15
30,4,0.7142857142857143,0.8,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,13
23,1,0.5476190476190477,0.2,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,19
19,2,0.4523809523809524,0.4,0.0,0.0,1,-2.5,4,4,1.0,1/4_0_1/4_1/8,270.0,4,28
11,0,0.2619047619047619,0.0,0.0,0.0,1,-2.5,5,5,1.0,1/4_0_1/4_1/8_1/8,320.0,5,39
8,1,0.19047619047619047,0.2,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,27
17,2,0.40476190476190477,0.4,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,26
23,1,0.5476190476190477,0.2,0.0,0.0,1,-13.0,2,2,1.0,1_1/8,337.5,3,16
23,1,0.5476190476190477,0.2,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
27,4,0.6428571428571429,0.8,0.0,0.0,1,-6.5,3,3,1.0,0_1/8_1/2,270.0,3,17
22,3,0.5238095238095238,0.6,0.0,0.0,1,-3.0,5,5,1.0,0_1/2_1/8_1/8_0,340.0,4,32
15,0,0.35714285714285715,0.0,0.0,0.0,1,-2.5,6,6,1.0,1/4_0_1/8_1/8_1/4_1/8,370.0,5,45
20,3,0.47619047619047616,0.6,0.0,0.0,1,-6.5,7,7,1.0,1/4_0_0_1/8_0_0_1/8,350.0,3,31
23,2,0.5476190476190477,0.4,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
12,1,0.2857142857142857,0.2,0.0,0.0,1,-13.0,5,5,1.0,1/2_0_0_1/4_0,360.0,4,33
-6,0,-0.14285714285714285,0.0,3.0,0.6,0,29.0,2,4,0.5,1/4_1/8_0_1/2,370.0,5,33
23,4,0.5476190476190477,0.8,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,19
27,4,0.6428571428571429,0.8,0.0,0.0,1,-6.5,5,5,1.0,0_0_0_1/8_1/2,310.0,3,23
26,2,0.6190476190476191,0.4,0.0,0.0,1,-27.5,3,3,1.0,1/2_0_1/8,270.0,3,20
23,1,0.5476190476190477,0.2,0.0,0.0,1,-6.0,5,5,1.0,1/8_1/4_0_1/4_0,290.0,3,27
20,2,0.47619047619047616,0.4,0.0,0.0,1,-6.0,6,6,1.0,0_1/8_1/8_0_1/4_1/4,340.0,4,36
30,2,0.7142857142857143,0.4,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,2,11
22,2,0.5238095238095238,0.4,0.0,0.0,1,-9.5,2,2,1.0,0_1,315.0,4,20
25,3,0.5952380952380952,0.6,0.0,0.0,1,-10.0,6,7,0.8571428571428571,0_1/8_0_0_0_1/4_0,312.5,3,25
3,0,0.07142857142857142,0.0,2.0,0.4,1,-6.0,4,4,1.0,1/2_0_1/8_1/4,370.0,6,43
20,0,0.47619047619047616,0.0,0.0,0.0,1,-6.0,6,6,1.0,0_0_1/4_1/4_1/8_1/8,340.0,4,34
10,3,0.23809523809523808,0.6,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,25
17,4,0.40476190476190477,0.8,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,17
30,3,0.7142857142857143,0.6,0.0,0.0,1,0.0,7,7,1.0,1/8_0_1/8_0_1/8_1/8_1/8,362.5,4,35
12,1,0.2857142857142857,0.2,0.0,0.0,1,-2.5,5,5,1.0,1/8_1/8_1/4_1/4_0,320.0,4,34
29,3,0.6904761904761905,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
19,0,0.4523809523809524,0.0,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,3,20
29,0,0.6904761904761905,0.0,0.0,0.0,1,-6.5,4,4,1.0,1/2_1/8_0_1/8,320.0,3,20
14,1,0.3333333333333333,0.2,0.0,0.0,1,-6.5,6,6,1.0,0_1/2_0_1/8_0_1/8,360.0,4,34
17,0,0.40476190476190477,0.0,0.0,0.0,1,-2.5,6,6,1.0,1/4_1/8_1/8_0_1/4_1/8,370.0,5,43
23,1,0.5476190476190477,0.2,0.0,0.0,1,-2.5,3,3,1.0,1/4_1/8_1/2,350.0,3,21
8,0,0.19047619047619047,0.0,0.0,0.0,1,-13.0,2,2,1.0,1/2_1/2,300.0,5,31
17,3,0.40476190476190477,0.6,0.0,0.0,1,-6.0,2,2,1.0,1/8_1,337.5,3,20
36,2,0.8571428571428571,0.4,0.0,0.0,1,-6.0,2,2,1.0,1/8_1,337.5,2,13
24,2,0.5714285714285714,0.4,0.0,0.0,1,-3.0,5,6,0.8333333333333334,0_1/8_1/8_1/4_0_0,260.0,4,31
27,2,0.6428571428571429,0.4,0.0,0.0,1,-6.5,3,3,1.0,1/8_1/2_0,270.0,3,17
13,1,0.30952380952380953,0.2,0.0,0.0,1,-6.5,5,6,0.8333333333333334,0_0_1/8_1/8_1/2_0,360.0,5,42
18,0,0.42857142857142855,0.0,0.0,0.0,1,-6.0,5,5,1.0,0_1/2_0_1/4_0,360.0,4,32
